run_id,scenario,method,runtime_changed,result_changed_fields,tiny_numeric_fields_le_1e-10,max_abs_result_delta,ari_primary,ari_v2,ari_v2_minus_primary
run_042,gps_noise_100m,additive_cij_louvain_matched_density,True,,,0,0.8167201585994671,0.8167201585994671,0
run_042,gps_noise_100m,geo_time_dbscan,True,,,0,0.38305410007805085,0.38305410007805085,0
run_042,gps_noise_100m,product_cij_leiden,True,,,0,0.819795532042256,0.819795532042256,0
run_042,gps_noise_100m,product_cij_louvain,True,,,0,0.819795532042256,0.819795532042256,0
run_042,gps_noise_300m,additive_cij_louvain,True,,,0,0.7234615464280536,0.7234615464280536,0
run_042,gps_noise_300m,additive_cij_louvain_matched_density,True,,,0,0.6591223073888945,0.6591223073888945,0
run_042,gps_noise_300m,geo_time_dbscan,True,,,0,0.354350823619385,0.354350823619385,0
run_042,gps_noise_300m,product_cij_leiden,True,,,0,0.802405142054059,0.802405142054059,0
run_042,gps_noise_300m,product_cij_louvain,True,,,0,0.7493059780467045,0.7493059780467045,0
run_042,time_noise_15min,additive_cij_louvain,True,,,0,0.8056696939639658,0.8056696939639658,0
run_042,time_noise_15min,additive_cij_louvain_matched_density,True,,,0,0.7455640539322546,0.7455640539322546,0
run_042,time_noise_15min,geo_time_dbscan,True,,,0,0.38305410007805085,0.38305410007805085,0
run_042,time_noise_15min,product_cij_leiden,True,,,0,0.7828930638663347,0.7828930638663347,0
run_042,time_noise_15min,product_cij_louvain,True,,,0,0.7828930638663347,0.7828930638663347,0
run_042,time_noise_60min,additive_cij_louvain,True,,,0,0.7647287230358502,0.7647287230358502,0
run_042,time_noise_60min,additive_cij_louvain_matched_density,True,,,0,0.7018601871676138,0.7018601871676138,0
run_042,time_noise_60min,geo_time_dbscan,True,,,0,0.3277049423317343,0.3277049423317343,0
run_042,time_noise_60min,product_cij_leiden,True,,,0,0.7447902913441702,0.7447902913441702,0
run_042,time_noise_60min,product_cij_louvain,True,,,0,0.747476100591667,0.747476100591667,0
run_043,baseline,additive_cij_louvain,True,,,0,0.9211675476901862,0.9211675476901862,0
run_043,baseline,additive_cij_louvain_matched_density,True,,,0,0.8792186836518047,0.8792186836518047,0
run_043,baseline,geo_time_dbscan,True,,,0,0.517048997407371,0.517048997407371,0
run_043,baseline,product_cij_leiden,True,,,0,0.9211675476901862,0.9211675476901862,0
run_043,baseline,product_cij_louvain,True,,,0,0.9211675476901862,0.9211675476901862,0
run_043,exact_transport_copy_2x,additive_cij_louvain,True,mean_degree;n_edges;retained_edge_fraction,nmi_all;nmi_original,2,0.9670180020520474,0.9670180020520474,0
run_043,exact_transport_copy_2x,additive_cij_louvain_matched_density,True,mean_degree;n_edges;retained_edge_fraction,,3,0.9749202404959761,0.9749202404959761,0
run_043,exact_transport_copy_2x,geo_time_dbscan,True,,,0,0.517048997407371,0.517048997407371,0
run_043,exact_transport_copy_2x,product_cij_leiden,True,ari_all;ari_original;mean_degree;n_edges;nmi_all;nmi_original;pair_f1_all;pair_f1_original;retained_edge_fraction,threshold,2,0.8960412454245795,0.8918980324442223,-0.0041432129803572471
run_043,exact_transport_copy_2x,product_cij_louvain,True,mean_degree;n_edges;retained_edge_fraction,nmi_original;threshold,2,0.9670180020520474,0.9670180020520474,0
run_043,exact_transport_copy_5x,additive_cij_louvain,True,mean_degree;n_edges;retained_edge_fraction,nmi_all,5,0.2719061727888785,0.2719061727888785,0
run_043,exact_transport_copy_5x,additive_cij_louvain_matched_density,True,mean_degree;n_edges;retained_edge_fraction,nmi_all;nmi_original,3,0.27365214805090915,0.27365214805090915,0
run_043,exact_transport_copy_5x,geo_time_dbscan,True,,,0,0.517048997407371,0.517048997407371,0
run_043,exact_transport_copy_5x,product_cij_leiden,True,mean_degree;n_edges;retained_edge_fraction,,2,0.27125232034623153,0.27125232034623153,0
run_043,exact_transport_copy_5x,product_cij_louvain,True,mean_degree;n_edges;retained_edge_fraction,,2,0.27125232034623153,0.27125232034623153,0
run_043,gps_noise_100m,additive_cij_louvain,True,,,0,0.9081958723451835,0.9081958723451835,0
run_043,gps_noise_100m,additive_cij_louvain_matched_density,True,,,0,0.8411721412021262,0.8411721412021262,0
run_043,gps_noise_100m,geo_time_dbscan,True,,,0,0.517048997407371,0.517048997407371,0
run_043,gps_noise_100m,product_cij_leiden,True,,,0,0.8737248586641565,0.8737248586641565,0
run_043,gps_noise_100m,product_cij_louvain,True,,,0,0.8737248586641565,0.8737248586641565,0
run_043,gps_noise_300m,additive_cij_louvain,True,,,0,0.7889193636862315,0.7889193636862315,0
run_043,gps_noise_300m,additive_cij_louvain_matched_density,True,,,0,0.8411721412021262,0.8411721412021262,0
run_043,gps_noise_300m,geo_time_dbscan,True,,,0,0.29064834998449846,0.29064834998449846,0
