method,scenario,metric,direction,mean_stress_minus_baseline,bootstrap_ci95_low,bootstrap_ci95_high,paired_runs,bootstrap_resamples
product_cij_louvain,exact_transport_copy_2x,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_louvain,exact_transport_copy_2x,false_destination_rate_all,lower,0.46497063737775735,-0.5300361427465732,1.500855194051304,40,5000
product_cij_louvain,exact_transport_copy_2x,retained_edge_fraction,descriptive,-0.014370374210141723,-0.01460793704792911,-0.014142363861566169,40,5000
product_cij_louvain,exact_transport_copy_2x,mean_degree,descriptive,0.4654851958552129,0.42678187327971767,0.5058357939998943,40,5000
product_cij_louvain,exact_transport_copy_5x,ari_original,higher,-0.6107969632103082,-0.6317899170802675,-0.5880567073734004,40,5000
product_cij_louvain,exact_transport_copy_5x,pair_f1_original,higher,-0.6030505344143333,-0.6225021819017775,-0.58260669471501,40,5000
product_cij_louvain,exact_transport_copy_5x,ari_all,higher,-0.562253524949144,-0.5828795111045207,-0.5400770650563389,40,5000
product_cij_louvain,exact_transport_copy_5x,pair_f1_all,higher,-0.5527626986230141,-0.5726157815432412,-0.5322399072803821,40,5000
product_cij_louvain,exact_transport_copy_5x,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_louvain,exact_transport_copy_5x,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
product_cij_louvain,exact_transport_copy_5x,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_louvain,exact_transport_copy_5x,false_destination_rate_all,lower,1.976994563946287,1.0631040726580467,2.8824011422233125,40,5000
product_cij_louvain,exact_transport_copy_5x,retained_edge_fraction,descriptive,-0.023956445864888327,-0.024371170401178918,-0.02360116591956507,40,5000
product_cij_louvain,exact_transport_copy_5x,mean_degree,descriptive,0.24195156044031937,0.1986301262249817,0.28543648319520337,40,5000
additive_cij_louvain,gps_noise_100m,ari_original,higher,-0.022004745541367065,-0.03521791907312884,-0.009817241312836305,40,5000
additive_cij_louvain,gps_noise_100m,pair_f1_original,higher,-0.020330036663187348,-0.03251609637683438,-0.008912775359400885,40,5000
additive_cij_louvain,gps_noise_100m,ari_all,higher,-0.022004745541367065,-0.03530502186378408,-0.009855331550552661,40,5000
additive_cij_louvain,gps_noise_100m,pair_f1_all,higher,-0.020330036663187348,-0.03265462238009587,-0.00926159809369811,40,5000
additive_cij_louvain,gps_noise_100m,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,gps_noise_100m,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain,gps_noise_100m,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,gps_noise_100m,false_destination_rate_all,lower,0.2804247373713318,-0.14085151604501447,0.638531415855816,40,5000
additive_cij_louvain,gps_noise_100m,retained_edge_fraction,descriptive,0.00018220948743059964,0.00010592729673885639,0.00025929486367053264,40,5000
additive_cij_louvain,gps_noise_100m,mean_degree,descriptive,0.06068606522758533,0.03617186727762755,0.08650373703119348,40,5000
additive_cij_louvain,gps_noise_300m,ari_original,higher,-0.1564926822231336,-0.1819082905422609,-0.13239242451548813,40,5000
additive_cij_louvain,gps_noise_300m,pair_f1_original,higher,-0.14385974597245768,-0.166831579723902,-0.12163066439765803,40,5000
additive_cij_louvain,gps_noise_300m,ari_all,higher,-0.1564926822231336,-0.18140414162759202,-0.13257499208596227,40,5000
additive_cij_louvain,gps_noise_300m,pair_f1_all,higher,-0.14385974597245768,-0.16690267571682763,-0.1212916894696903,40,5000
additive_cij_louvain,gps_noise_300m,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,gps_noise_300m,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain,gps_noise_300m,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,gps_noise_300m,false_destination_rate_all,lower,2.017084448489247,1.3463204964003141,2.703737700798942,40,5000
additive_cij_louvain,gps_noise_300m,retained_edge_fraction,descriptive,0.00015541920121525378,-6.50904335062159e-05,0.00041508499917435775,40,5000
additive_cij_louvain,gps_noise_300m,mean_degree,descriptive,0.05003083435156337,-0.020538186188473542,0.13489712516383356,40,5000
additive_cij_louvain,time_noise_15min,ari_original,higher,-0.03755188988345583,-0.051364746415020236,-0.024359708403766004,40,5000
additive_cij_louvain,time_noise_15min,pair_f1_original,higher,-0.03465906761057012,-0.04797610520724336,-0.022331775483907988,40,5000
additive_cij_louvain,time_noise_15min,ari_all,higher,-0.03755188988345583,-0.051181185770442644,-0.023798770343086098,40,5000
additive_cij_louvain,time_noise_15min,pair_f1_all,higher,-0.03465906761057012,-0.047796752569233325,-0.02224722154801068,40,5000
additive_cij_louvain,time_noise_15min,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,time_noise_15min,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain,time_noise_15min,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,time_noise_15min,false_destination_rate_all,lower,0.8343945034154012,0.31101574401690524,1.4068261953904355,40,5000
additive_cij_louvain,time_noise_15min,retained_edge_fraction,descriptive,5.884222380050843e-05,-7.478396953976129e-05,0.00019710415145601245,40,5000
additive_cij_louvain,time_noise_15min,mean_degree,descriptive,0.018649838498453364,-0.02649079889621226,0.061980054612566976,40,5000
additive_cij_louvain,time_noise_60min,ari_original,higher,-0.15448415852585515,-0.1772670570955797,-0.1319357061042898,40,5000
additive_cij_louvain,time_noise_60min,pair_f1_original,higher,-0.14247411486846775,-0.16321575837793284,-0.12164641825413432,40,5000
additive_cij_louvain,time_noise_60min,ari_all,higher,-0.15448415852585515,-0.1765367708086308,-0.13194733424161031,40,5000
additive_cij_louvain,time_noise_60min,pair_f1_all,higher,-0.14247411486846775,-0.16320844737033247,-0.12191592172431574,40,5000
additive_cij_louvain,time_noise_60min,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,time_noise_60min,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain,time_noise_60min,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,time_noise_60min,false_destination_rate_all,lower,2.559445016198112,1.7333413898622876,3.394465970851903,40,5000
additive_cij_louvain,time_noise_60min,retained_edge_fraction,descriptive,-0.0004833241742795479,-0.0006929641223863784,-0.00024079943425229605,40,5000
additive_cij_louvain,time_noise_60min,mean_degree,descriptive,-0.1601284368897627,-0.2285065237003842,-0.0822530720989008,40,5000
additive_cij_louvain,exact_transport_copy_2x,ari_original,higher,0.013111878214907937,0.0035687037320582845,0.02243040329198762,40,5000
additive_cij_louvain,exact_transport_copy_2x,pair_f1_original,higher,0.011889578068250261,0.003091391637808799,0.020463065889053573,40,5000
additive_cij_louvain,exact_transport_copy_2x,ari_all,higher,0.014894604520127544,0.0057060299929783944,0.02395741447867951,40,5000
additive_cij_louvain,exact_transport_copy_2x,pair_f1_all,higher,0.013673110537002472,0.004829395060661136,0.022588730390741562,40,5000
additive_cij_louvain,exact_transport_copy_2x,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,exact_transport_copy_2x,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain,exact_transport_copy_2x,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,exact_transport_copy_2x,false_destination_rate_all,lower,0.6282202189869771,-0.1914612772072985,1.4869045462084345,40,5000
additive_cij_louvain,exact_transport_copy_2x,retained_edge_fraction,descriptive,-0.013358481864955238,-0.013681988535742203,-0.012945135506705572,40,5000
additive_cij_louvain,exact_transport_copy_2x,mean_degree,descriptive,0.7463817788125774,0.6520617048641734,0.8578646919799584,40,5000
additive_cij_louvain,exact_transport_copy_5x,ari_original,higher,-0.6219603608745865,-0.6428264650425636,-0.6007517535852949,40,5000
additive_cij_louvain,exact_transport_copy_5x,pair_f1_original,higher,-0.6133120082414694,-0.6331382201815043,-0.5928512424579607,40,5000
additive_cij_louvain,exact_transport_copy_5x,ari_all,higher,-0.57348100793449,-0.5948067628180408,-0.5528731432649129,40,5000
additive_cij_louvain,exact_transport_copy_5x,pair_f1_all,higher,-0.5630916761409898,-0.5831059098557501,-0.5429123650732189,40,5000
additive_cij_louvain,exact_transport_copy_5x,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,exact_transport_copy_5x,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain,exact_transport_copy_5x,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain,exact_transport_copy_5x,false_destination_rate_all,lower,2.4967315327468684,1.4947955195903246,3.521020712198737,40,5000
additive_cij_louvain,exact_transport_copy_5x,retained_edge_fraction,descriptive,-0.02281670780953828,-0.023242152456239066,-0.022296351313782513,40,5000
additive_cij_louvain,exact_transport_copy_5x,mean_degree,descriptive,0.5960413116291887,0.4619564175228244,0.7661833579625534,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,ari_original,higher,-0.018624922208315332,-0.02912632418949803,-0.008863049808132848,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,pair_f1_original,higher,-0.017149066223164998,-0.026587928928554418,-0.008133042645806637,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,ari_all,higher,-0.018624922208315332,-0.02906284983514638,-0.00874419017852422,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,pair_f1_all,higher,-0.017149066223164998,-0.026855164237550997,-0.008008771737134936,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,false_destination_rate_all,lower,0.23414387684898502,-0.10955962977296195,0.5257506127450975,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,retained_edge_fraction,descriptive,0.00012253721572491952,7.66268682537154e-05,0.00016821716569919988,40,5000
additive_cij_louvain_matched_density,gps_noise_100m,mean_degree,descriptive,0.040277999089130566,0.024282528042667853,0.05502700103274468,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,ari_original,higher,-0.09824747594328835,-0.11683031926170866,-0.08072126424473632,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,pair_f1_original,higher,-0.09019493460788756,-0.10748938936008065,-0.07391984465009424,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,ari_all,higher,-0.09824747594328835,-0.11691132994832384,-0.08113656755988607,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,pair_f1_all,higher,-0.09019493460788756,-0.10768807470150239,-0.07421953147189389,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,false_destination_rate_all,lower,1.810938352153522,1.1641350264802275,2.490971465647355,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,retained_edge_fraction,descriptive,0.000751533357101428,0.0006697831125858435,0.0008318844334836021,40,5000
additive_cij_louvain_matched_density,gps_noise_300m,mean_degree,descriptive,0.24704656619861556,0.22227341245136997,0.27364450925721395,40,5000
additive_cij_louvain_matched_density,time_noise_15min,ari_original,higher,-0.04374162801902631,-0.057707390403176975,-0.029938103923917464,40,5000
additive_cij_louvain_matched_density,time_noise_15min,pair_f1_original,higher,-0.04026311687588584,-0.05343523285250247,-0.027589045278561757,40,5000
additive_cij_louvain_matched_density,time_noise_15min,ari_all,higher,-0.04374162801902631,-0.05836002429331129,-0.02982718333575961,40,5000
additive_cij_louvain_matched_density,time_noise_15min,pair_f1_all,higher,-0.04026311687588584,-0.05367923893390089,-0.02742989498849898,40,5000
additive_cij_louvain_matched_density,time_noise_15min,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,time_noise_15min,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,time_noise_15min,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,time_noise_15min,false_destination_rate_all,lower,0.8868264411027565,0.4616429631062952,1.3168893050641308,40,5000
