run_id,seed,scenario,method,runtime_seconds
run_043,43,exact_transport_copy_5x,product_cij_louvain,0.5058521309999833
run_043,43,exact_transport_copy_5x,additive_cij_louvain,0.5160206139998991
run_043,43,exact_transport_copy_5x,additive_cij_louvain_matched_density,0.47818394699993405
run_043,43,exact_transport_copy_5x,product_cij_leiden,0.39382912100018075
run_043,43,exact_transport_copy_5x,geo_time_dbscan,0.05623585200009984
run_043,43,gps_noise_100m,product_cij_louvain,0.04741557699981058
run_043,43,gps_noise_100m,additive_cij_louvain,0.04806173099996158
run_043,43,gps_noise_100m,additive_cij_louvain_matched_density,0.04151726400004918
run_043,43,gps_noise_100m,product_cij_leiden,0.03268822900008672
run_043,43,gps_noise_100m,geo_time_dbscan,0.005175640000061321
run_043,43,gps_noise_300m,product_cij_louvain,0.04821752199995899
run_043,43,gps_noise_300m,additive_cij_louvain,0.041964588000155345
run_043,43,gps_noise_300m,additive_cij_louvain_matched_density,0.05477131600014218
run_043,43,gps_noise_300m,product_cij_leiden,0.03475620900007925
run_043,43,gps_noise_300m,geo_time_dbscan,0.005192557000100351
run_043,43,time_noise_15min,product_cij_louvain,0.04038702299999386
run_043,43,time_noise_15min,additive_cij_louvain,0.045109405999937735
run_043,43,time_noise_15min,additive_cij_louvain_matched_density,0.04821523500004332
run_043,43,time_noise_15min,product_cij_leiden,0.03755507799996849
run_043,43,time_noise_15min,geo_time_dbscan,0.005508421000058661
run_043,43,time_noise_60min,product_cij_louvain,0.048986854000077074
run_043,43,time_noise_60min,additive_cij_louvain,0.05540655400000105
run_043,43,time_noise_60min,additive_cij_louvain_matched_density,0.044886387999895305
run_043,43,time_noise_60min,product_cij_leiden,0.03168429699985609
run_043,43,time_noise_60min,geo_time_dbscan,0.00496820199987269
run_044,44,baseline,product_cij_louvain,0.05051256299998386
run_044,44,baseline,additive_cij_louvain,0.05695934900018074
run_044,44,baseline,additive_cij_louvain_matched_density,0.05066797399990719
run_044,44,baseline,product_cij_leiden,0.03414623100002245
run_044,44,baseline,geo_time_dbscan,0.007141481999951793
run_044,44,exact_transport_copy_2x,product_cij_louvain,0.22851401299999452
run_044,44,exact_transport_copy_2x,additive_cij_louvain,0.2503228079999644
run_044,44,exact_transport_copy_2x,additive_cij_louvain_matched_density,0.23447205499996926
run_044,44,exact_transport_copy_2x,product_cij_leiden,0.14795556500007478
run_044,44,exact_transport_copy_2x,geo_time_dbscan,0.01760204600009274
run_044,44,exact_transport_copy_5x,product_cij_louvain,0.8186128489999192
run_044,44,exact_transport_copy_5x,additive_cij_louvain,0.8527338669998699
run_044,44,exact_transport_copy_5x,additive_cij_louvain_matched_density,0.8772785389999171
run_044,44,exact_transport_copy_5x,product_cij_leiden,0.6528641410000091
run_044,44,exact_transport_copy_5x,geo_time_dbscan,0.06574079200004235
run_044,44,gps_noise_100m,product_cij_louvain,0.05486960000007457
run_044,44,gps_noise_100m,additive_cij_louvain,0.05181646300002285
run_044,44,gps_noise_100m,additive_cij_louvain_matched_density,0.05327662800004873
run_044,44,gps_noise_100m,product_cij_leiden,0.033010590000003504
run_044,44,gps_noise_100m,geo_time_dbscan,0.0050485159999880125
run_044,44,gps_noise_300m,product_cij_louvain,0.053423928000029264
run_044,44,gps_noise_300m,additive_cij_louvain,0.04912802800004101
run_044,44,gps_noise_300m,additive_cij_louvain_matched_density,0.05083146200013289
run_044,44,gps_noise_300m,product_cij_leiden,0.03529249400003209
run_044,44,gps_noise_300m,geo_time_dbscan,0.005506629999899815
run_044,44,time_noise_15min,product_cij_louvain,0.0547372070000165
run_044,44,time_noise_15min,additive_cij_louvain,0.05535456300003716
run_044,44,time_noise_15min,additive_cij_louvain_matched_density,0.05936896900016109
run_044,44,time_noise_15min,product_cij_leiden,0.033786902999963786
run_044,44,time_noise_15min,geo_time_dbscan,0.0053010120000180905
run_044,44,time_noise_60min,product_cij_louvain,0.05289587599986589
run_044,44,time_noise_60min,additive_cij_louvain,0.05527511900004356
run_044,44,time_noise_60min,additive_cij_louvain_matched_density,0.047596706999911476
run_044,44,time_noise_60min,product_cij_leiden,0.03741472599995177
run_044,44,time_noise_60min,geo_time_dbscan,0.005143425999904139
run_045,45,baseline,product_cij_louvain,0.051646159000029
run_045,45,baseline,additive_cij_louvain,0.05190268600017589
run_045,45,baseline,additive_cij_louvain_matched_density,0.05447439699992174
run_045,45,baseline,product_cij_leiden,0.045817453999916324
run_045,45,baseline,geo_time_dbscan,0.006674600999986069
run_045,45,exact_transport_copy_2x,product_cij_louvain,0.13764357700006258
run_045,45,exact_transport_copy_2x,additive_cij_louvain,0.1371421650001139
run_045,45,exact_transport_copy_2x,additive_cij_louvain_matched_density,0.14063567199991667
run_045,45,exact_transport_copy_2x,product_cij_leiden,0.09354852100000244
run_045,45,exact_transport_copy_2x,geo_time_dbscan,0.011477114999934201
run_045,45,exact_transport_copy_5x,product_cij_louvain,0.524302390999992
run_045,45,exact_transport_copy_5x,additive_cij_louvain,0.518951806999894
run_045,45,exact_transport_copy_5x,additive_cij_louvain_matched_density,0.5354521039998872
run_045,45,exact_transport_copy_5x,product_cij_leiden,0.4255432480001673
run_045,45,exact_transport_copy_5x,geo_time_dbscan,0.05771748100005425
run_045,45,gps_noise_100m,product_cij_louvain,0.41404386199997134
run_045,45,gps_noise_100m,additive_cij_louvain,0.04588232399987646
run_045,45,gps_noise_100m,additive_cij_louvain_matched_density,0.04774214400003984
